with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 5491, eff_muTau = 0.75
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 5473, eff_muTau = 0.74
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 5449, eff_muTau = 0.74
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 5472, eff_muTau = 0.74
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 5447, eff_muTau = 0.74
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 5465, eff_muTau = 0.74
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 5467, eff_muTau = 0.74
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 5490, eff_muTau = 0.75
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 5465, eff_muTau = 0.74
with  tauTau && (HLT_ditau || HLT_singleTau || HLT_MET) : n_tauTau = 1329, eff_tauTau = 0.09
with  tauTau && (HLT_ditau || HLT_singleTau) : n_tauTau = 1262, eff_tauTau = 0.08
with  tauTau && (HLT_ditau) : n_tauTau = 1246, eff_tauTau = 0.08
with  tauTau && (HLT_ditau || HLT_MET) : n_tauTau = 1314, eff_tauTau = 0.09
GluGluToRadionToHHTo2B2Tau_M-300
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 2681, eff_eTau = 0.51
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 2649, eff_eTau = 0.5
with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 2649, eff_eTau = 0.5
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 2681, eff_eTau = 0.51
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 4762, eff_muTau = 0.77
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 4748, eff_muTau = 0.77
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 4716, eff_muTau = 0.76
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 4748, eff_muTau = 0.77
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 4715, eff_muTau = 0.76
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 4731, eff_muTau = 0.77
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 4731, eff_muTau = 0.77
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 4762, eff_muTau = 0.77
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 4731, eff_muTau = 0.77
with  tauTau && (HLT_ditau || HLT_singleTau || HLT_MET) : n_tauTau = 1389, eff_tauTau = 0.11
with  tauTau && (HLT_ditau || HLT_singleTau) : n_tauTau = 1326, eff_tauTau = 0.11
with  tauTau && (HLT_ditau) : n_tauTau = 1301, eff_tauTau = 0.1
with  tauTau && (HLT_ditau || HLT_MET) : n_tauTau = 1368, eff_tauTau = 0.11
GluGluToRadionToHHTo2B2Tau_M-320
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 2880, eff_eTau = 0.53
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 2841, eff_eTau = 0.52
with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 2838, eff_eTau = 0.52
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 2877, eff_eTau = 0.53
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 4950, eff_muTau = 0.78
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 4934, eff_muTau = 0.78
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 4897, eff_muTau = 0.77
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 4933, eff_muTau = 0.78
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 4896, eff_muTau = 0.77
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 4914, eff_muTau = 0.78
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 4915, eff_muTau = 0.78
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 4949, eff_muTau = 0.78
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 4914, eff_muTau = 0.78
with  tauTau && (HLT_ditau || HLT_singleTau || HLT_MET) : n_tauTau = 1677, eff_tauTau = 0.13
with  tauTau && (HLT_ditau || HLT_singleTau) : n_tauTau = 1587, eff_tauTau = 0.12
with  tauTau && (HLT_ditau) : n_tauTau = 1558, eff_tauTau = 0.12
with  tauTau && (HLT_ditau || HLT_MET) : n_tauTau = 1651, eff_tauTau = 0.13
GluGluToRadionToHHTo2B2Tau_M-350
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 3526, eff_eTau = 0.58
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 3462, eff_eTau = 0.57
with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 3458, eff_eTau = 0.57
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 3523, eff_eTau = 0.58
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 5971, eff_muTau = 0.8
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 5938, eff_muTau = 0.8
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 5871, eff_muTau = 0.79
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 5938, eff_muTau = 0.8
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 5870, eff_muTau = 0.79
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 5911, eff_muTau = 0.8
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 5912, eff_muTau = 0.8
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 5971, eff_muTau = 0.8
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 5911, eff_muTau = 0.8
with  tauTau && (HLT_ditau || HLT_singleTau || HLT_MET) : n_tauTau = 2436, eff_tauTau = 0.17
with  tauTau && (HLT_ditau || HLT_singleTau) : n_tauTau = 2318, eff_tauTau = 0.16
with  tauTau && (HLT_ditau) : n_tauTau = 2272, eff_tauTau = 0.16
with  tauTau && (HLT_ditau || HLT_MET) : n_tauTau = 2392, eff_tauTau = 0.17
GluGluToRadionToHHTo2B2Tau_M-450
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 5788, eff_eTau = 0.65
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 5616, eff_eTau = 0.63
with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 5595, eff_eTau = 0.63
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 5769, eff_eTau = 0.65
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 8856, eff_muTau = 0.84
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 8802, eff_muTau = 0.84
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 8620, eff_muTau = 0.82
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 8789, eff_muTau = 0.84
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 8606, eff_muTau = 0.82
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 8664, eff_muTau = 0.83
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 8678, eff_muTau = 0.83
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 8843, eff_muTau = 0.84
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 8664, eff_muTau = 0.83
with  tauTau && (HLT_ditau || HLT_singleTau || HLT_MET) : n_tauTau = 5703, eff_tauTau = 0.29
with  tauTau && (HLT_ditau || HLT_singleTau) : n_tauTau = 5342, eff_tauTau = 0.27
with  tauTau && (HLT_ditau) : n_tauTau = 5153, eff_tauTau = 0.26
with  tauTau && (HLT_ditau || HLT_MET) : n_tauTau = 5527, eff_tauTau = 0.28
