with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 5660, eff_muTau = 0.76
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 5631, eff_muTau = 0.76
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 5601, eff_muTau = 0.75
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 5631, eff_muTau = 0.76
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 5601, eff_muTau = 0.75
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 5632, eff_muTau = 0.76
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 5632, eff_muTau = 0.76
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 5660, eff_muTau = 0.76
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 5632, eff_muTau = 0.76
with  tauTau && (HLT_ditau || HLT_singleTau || HLT_MET) : n_tauTau = 1386, eff_tauTau = 0.09
with  tauTau && (HLT_ditau || HLT_singleTau) : n_tauTau = 1313, eff_tauTau = 0.08
with  tauTau && (HLT_ditau) : n_tauTau = 1295, eff_tauTau = 0.08
with  tauTau && (HLT_ditau || HLT_MET) : n_tauTau = 1368, eff_tauTau = 0.09
GluGluToBulkGravitonToHHTo2B2Tau_M-300
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 2763, eff_eTau = 0.52
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 2712, eff_eTau = 0.51
with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 2709, eff_eTau = 0.51
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 2760, eff_eTau = 0.52
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 4847, eff_muTau = 0.78
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 4825, eff_muTau = 0.78
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 4791, eff_muTau = 0.77
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 4825, eff_muTau = 0.78
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 4791, eff_muTau = 0.77
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 4816, eff_muTau = 0.78
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 4816, eff_muTau = 0.78
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 4847, eff_muTau = 0.78
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 4816, eff_muTau = 0.78
with  tauTau && (HLT_ditau || HLT_singleTau || HLT_MET) : n_tauTau = 1552, eff_tauTau = 0.12
with  tauTau && (HLT_ditau || HLT_singleTau) : n_tauTau = 1455, eff_tauTau = 0.12
with  tauTau && (HLT_ditau) : n_tauTau = 1429, eff_tauTau = 0.11
with  tauTau && (HLT_ditau || HLT_MET) : n_tauTau = 1527, eff_tauTau = 0.12
GluGluToBulkGravitonToHHTo2B2Tau_M-320
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 3252, eff_eTau = 0.55
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 3193, eff_eTau = 0.54
with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 3186, eff_eTau = 0.54
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 3246, eff_eTau = 0.55
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 5485, eff_muTau = 0.8
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 5465, eff_muTau = 0.79
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 5431, eff_muTau = 0.79
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 5463, eff_muTau = 0.79
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 5429, eff_muTau = 0.79
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 5451, eff_muTau = 0.79
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 5453, eff_muTau = 0.79
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 5483, eff_muTau = 0.8
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 5451, eff_muTau = 0.79
with  tauTau && (HLT_ditau || HLT_singleTau || HLT_MET) : n_tauTau = 2094, eff_tauTau = 0.15
with  tauTau && (HLT_ditau || HLT_singleTau) : n_tauTau = 1960, eff_tauTau = 0.14
with  tauTau && (HLT_ditau) : n_tauTau = 1918, eff_tauTau = 0.14
with  tauTau && (HLT_ditau || HLT_MET) : n_tauTau = 2056, eff_tauTau = 0.15
GluGluToBulkGravitonToHHTo2B2Tau_M-350
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 4008, eff_eTau = 0.59
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 3936, eff_eTau = 0.58
with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 3928, eff_eTau = 0.58
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 4000, eff_eTau = 0.59
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 6447, eff_muTau = 0.81
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 6417, eff_muTau = 0.8
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 6340, eff_muTau = 0.79
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 6415, eff_muTau = 0.8
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 6337, eff_muTau = 0.79
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 6370, eff_muTau = 0.8
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 6373, eff_muTau = 0.8
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 6445, eff_muTau = 0.81
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 6370, eff_muTau = 0.8
with  tauTau && (HLT_ditau || HLT_singleTau || HLT_MET) : n_tauTau = 3012, eff_tauTau = 0.19
with  tauTau && (HLT_ditau || HLT_singleTau) : n_tauTau = 2818, eff_tauTau = 0.18
with  tauTau && (HLT_ditau) : n_tauTau = 2742, eff_tauTau = 0.18
with  tauTau && (HLT_ditau || HLT_MET) : n_tauTau = 2944, eff_tauTau = 0.19
GluGluToBulkGravitonToHHTo2B2Tau_M-400
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 5451, eff_eTau = 0.63
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 5311, eff_eTau = 0.62
with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 5286, eff_eTau = 0.61
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 5430, eff_eTau = 0.63
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 8576, eff_muTau = 0.85
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 8536, eff_muTau = 0.84
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 8417, eff_muTau = 0.83
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 8526, eff_muTau = 0.84
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 8405, eff_muTau = 0.83
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 8450, eff_muTau = 0.83
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 8461, eff_muTau = 0.83
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 8566, eff_muTau = 0.84
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 8450, eff_muTau = 0.83
with  tauTau && (HLT_ditau || HLT_singleTau || HLT_MET) : n_tauTau = 5241, eff_tauTau = 0.27
with  tauTau && (HLT_ditau || HLT_singleTau) : n_tauTau = 4913, eff_tauTau = 0.25
with  tauTau && (HLT_ditau) : n_tauTau = 4766, eff_tauTau = 0.25
with  tauTau && (HLT_ditau || HLT_MET) : n_tauTau = 5106, eff_tauTau = 0.26
GluGluToBulkGravitonToHHTo2B2Tau_M-450
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 6739, eff_eTau = 0.68
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 6521, eff_eTau = 0.66
